longitude,latitude,issue_type,issue_Description,ticket_created_date_time
-8927675.99725371,2969347.58814013,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 16:47:21.786+00
-8931408.6510995,2971077.50737719,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 16:48:33.274+00
-8926968.33925074,2970068.9501762,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 10:29:37.786+00
-8935212.21546093,2970581.56397925,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:02:21.178+00
-8935468.25028975,2970626.31192272,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:12:06.623+00
-8935468.02765077,2970560.42618602,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:16:09.548+00
-8935852.85913044,2970728.91131387,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:17:48.632+00
-8935951.2655603,2970709.25667615,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:19:39.856+00
-8936033.19670553,2970699.2439463,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:21:12.215+00
-8936128.26355066,2970307.8875381,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:22:33.451+00
-8936510.42336256,2970406.28191291,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:23:46.682+00
-8936517.102532,2970586.87933556,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:26:03.876+00
-8936649.68404554,2970507.02558087,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:27:40.232+00
-8935756.5677709,2970046.57703735,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:28:58.316+00
-8935142.4181402,2970048.554772,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:30:25.837+00
-8935202.08538726,2970046.20621213,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:31:43.054+00
-8935269.87895716,2970168.45543352,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:32:55.206+00
-8935466.35785841,2970512.34091017,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:34:03.821+00
-8936282.4410454109,2970293.67232493,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:35:20.258+00
-8935706.91927801,2970331.99162668,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:37:22.188+00
-8933980.13133682,2966783.92494106,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:38:41.301+00
-8927887.61560571,2975902.82927438,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 12:01:55.584+00
-8931682.38572736,2966509.45424118,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/12 13:50:03.415+00
-8936251.93950493,2970242.86850176,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 13:14:55.209+00
-8925564.82311082,2979503.56863866,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/12 14:56:23.751+00
-8927626.79403878,2969374.40991148,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/12 15:24:23.237+00
-8931358.22337017,2971401.63497911,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 14:23:20.948+00
-8933136.66355508,2970848.94115092,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 14:50:18.272+00
-8934758.36589696,2972129.89745399,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 16:26:21.724+00
-8928852.31031292,2977815.07458383,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/15 10:40:42.491+00
-8927167.1558613,2969915.05828097,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/15 11:49:00.472+00
-8931086.93777111,2975301.37011102,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/15 13:58:45.695+00
-8929594.25471906,2968116.06429741,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 08:32:01.917+00
-8925763.52840188,2977458.03226411,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 13:48:44.973+00
-8925763.52840188,2977458.03226411,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 13:54:51.520+00
